config_id,p_n_estimators,p_learning_rate,p_num_leaves,p_min_child_samples,p_subsample,p_colsample_bytree,p_reg_lambda,RMSE_ret_mean,RMSE_ret_std,MAE_ret_mean,MAE_ret_std,R2_ret_mean,R2_ret_std,RMSE_usd_mean,RMSE_usd_std,DirAcc_pct_mean,DirAcc_pct_std
28,600,0.03,4,100,0.8,0.8,0.0,0.02393578037274198,0.006184537104268715,0.015927114685689768,0.0026190631387201864,-0.005429896480052959,0.007822582420818293,1.0036571600728466,0.8902717873006764,52.715445595192435,2.9993544402770205
3,600,0.01,4,50,0.8,0.8,5.0,0.023936163528236302,0.006221321434051986,0.015918676786830278,0.0026135135055292717,-0.004637517266020269,0.0058373127212003,1.005576766417126,0.893849834529745,52.97100754379236,1.0203404334635398
15,600,0.01,15,50,0.8,0.8,5.0,0.023938205401860063,0.0062062071233136154,0.015946877279982848,0.0026208929952636984,-0.005181911829211516,0.008728454129345831,1.0036310918939562,0.8902639661255689,53.03429868303286,0.8140198869013399
32,600,0.03,8,50,0.8,0.8,0.0,0.023938631957828922,0.006187791272639354,0.015937490284813796,0.002616860719079269,-0.005684272316693856,0.012954201247165276,1.0040415851235178,0.8899343009475367,52.21311213399821,1.2733554952879256
21,600,0.01,31,50,0.8,0.8,5.0,0.023938754572036924,0.006207996142091614,0.015945215996746274,0.0026269388198074803,-0.005193435192670459,0.008646222580377845,1.003698254525184,0.8902713829983862,53.223692622426796,0.8947678837932785
0,600,0.01,4,20,0.8,0.8,0.0,0.023941288739796576,0.006251241867091161,0.015943701089135058,0.0026278444398219595,-0.004384064493503925,0.0031977431610749844,1.006168742965674,0.8960560514989442,52.084611942206884,2.4777105711614484
19,600,0.01,31,20,0.8,0.8,5.0,0.023942728080166988,0.006275536627896649,0.015946840741244674,0.002649232041415295,-0.003969584882117155,0.004208008824550788,1.0056938306586858,0.8959558481045937,50.632431914077486,1.9004335669646795
6,600,0.01,8,20,0.8,0.8,0.0,0.023943777606759024,0.006265195969467006,0.015949628414390855,0.002637472510932716,-0.004304988368786344,0.003062959299216809,1.0059191770398592,0.8957785788659751,51.26342539317223,1.6820783959816727
4,600,0.01,4,100,0.8,0.8,0.0,0.023944293490545915,0.006182002853296655,0.015945842597615556,0.0026119810905073097,-0.006284055211146361,0.008971229170261729,1.0035395201867663,0.88964134782534,52.84266717811022,2.6120514955136174
44,600,0.03,31,50,0.8,0.8,0.0,0.023945993874701275,0.006214171727622061,0.0159524921298841,0.00262359223490829,-0.005766961726186265,0.010818178113558242,1.0047406689018763,0.8921421460206884,52.907876230661046,1.009061960022025
45,600,0.03,31,50,0.8,0.8,5.0,0.02394737181119551,0.0062009510240984165,0.015957033215214744,0.0026256561167455152,-0.006153926529579495,0.010486467117867682,1.0043621839154475,0.8909986235036449,51.26518348037335,1.489534270151742
14,600,0.01,15,50,0.8,0.8,0.0,0.02394737726186072,0.006198438427112283,0.015957289316995575,0.002615634149523802,-0.006181685546986115,0.008928188525670974,1.0038167552502228,0.8900665774717085,52.338735455824065,1.4141022789631923
31,600,0.03,8,20,0.8,0.8,5.0,0.02394917797762083,0.006223551449120041,0.015965011842056304,0.0026250193839924647,-0.005658604939851708,0.0027401915800415646,1.0048258880355434,0.8923668596633041,50.82102672292546,0.956196040799307
20,600,0.01,31,50,0.8,0.8,0.0,0.023954628959590857,0.006193551193386507,0.015963287902886463,0.002606922394913169,-0.006965073949044387,0.0101344453202211,1.0038768978067192,0.89004534741345,52.27560414269276,1.6399850131100187
25,600,0.03,4,20,0.8,0.8,5.0,0.02395723993003345,0.006265809333804586,0.015951090206771646,0.0026364527674632467,-0.005538544139300772,0.00336150483887288,1.0078734962017495,0.8988823972358342,50.82246515790819,1.0604387550421714
12,600,0.01,15,20,0.8,0.8,0.0,0.023958123844338,0.006272270874366615,0.015955077502862514,0.00264417799669492,-0.005456968934948958,0.0034336543447902987,1.0067302390104058,0.8967742145990238,51.89585730724971,2.71811472462525
